Square Footage,Bedrooms,Bathrooms,Location,Garage,Swimming Pool,House Age,House Price ($)
3625,2,2,Kottayam,1,0,46,779957
3382,2,1,Mangalore,2,0,19,794712
2441,1,1,Jaipur,1,1,31,701190
3979,5,3,Ambala,2,1,36,1030472
2797,1,2,Warangal,2,0,32,681027
1294,4,2,Ranchi,1,0,26,431013
1754,3,2,Jhansi,0,1,1,567866
2394,3,2,Surat,0,1,2,614155
1185,5,1,Warangal,1,1,6,556141
2269,1,1,Firozabad,1,1,45,641935
1636,1,2,Agra,1,0,14,436709
2291,4,1,Warangal,1,1,28,677514
4714,3,2,Hyderabad,1,1,33,1051881
4308,1,1,Agra,0,0,25,850788
1529,5,3,Madurai,2,1,40,742483
4623,3,3,Guntur,2,0,18,966991
3068,4,2,Rampur,0,0,46,698183
3958,5,2,Kottayam,0,1,34,917098
4808,2,1,Nagpur,2,1,12,1062959
3914,4,2,Dehradun,0,0,27,863741
1793,5,2,Kanpur,1,0,24,584303
4591,1,1,Aligarh,0,1,33,965975
3147,2,2,Surat,0,0,15,662811
3799,4,2,Vadodara,0,0,43,793968
1477,1,3,Gurgaon,0,0,32,447834
2622,2,3,Kottayam,2,0,17,731909
4369,3,3,Jaipur,2,0,35,1025018
1939,1,2,Panipat,2,0,47,614329
1525,5,1,Indore,2,0,45,559230
3381,4,3,Davanagere,1,1,35,907069
1001,2,2,Hubli,1,0,13,364231
1374,1,3,Thane,2,1,9,566648
3340,3,1,Gandhinagar,2,0,10,810010
3884,4,1,Agra,2,1,1,1010391
4052,4,1,Mangalore,0,0,34,817688
1552,1,1,Kadapa,1,1,46,545408
3365,3,1,Arrah,1,1,37,826151
2525,2,1,Bareilly,0,1,25,664167
2851,1,2,Jaipur,0,1,22,715626
1380,2,3,Ranchi,0,0,10,404959
2646,4,1,Karimnagar,1,0,26,663594
1013,2,3,Kadapa,0,0,19,338371
1503,3,3,Ghaziabad,0,0,40,470075
3278,5,2,Gurgaon,0,1,45,835863
3008,3,1,Gurgaon,2,0,41,722236
4155,2,1,Thane,0,0,4,781168
1129,1,2,Bardhaman,2,0,40,474871
4814,4,2,Kanpur,1,0,5,1034293
1837,5,2,Amravati,1,1,29,655276
4216,1,2,Firozabad,1,0,38,912453
3938,1,2,Ujjain,2,0,5,873711
4928,3,3,Ahmedabad,0,1,1,1072283
3040,2,2,Chandigarh,1,1,28,779132
1027,3,1,Kanpur,0,0,19,336061
3113,2,1,Bhiwandi,2,1,36,896903
4234,3,2,Karimnagar,1,0,1,870537
2252,1,2,Mangalore,0,0,29,496832
1260,4,2,Malegaon,0,0,36,422822
3046,2,2,Mumbai,1,0,32,719474
2472,5,2,Bijapur,0,1,14,721709
2447,5,1,Chhapra,2,1,32,806836
1459,1,3,Bilaspur,1,1,46,589392
4747,3,2,Guntur,1,1,9,1038982
1300,3,2,Varanasi,1,0,19,459446
3966,1,2,Bangalore,1,1,11,950087
4374,5,1,Bhiwandi,2,1,48,1122471
3334,5,1,Sangli,2,0,4,793670
4466,3,3,Ahmedabad,0,0,41,927055
4081,2,3,Surat,2,1,25,978565
4778,4,3,Indore,0,0,17,946927
1629,2,3,Kota,0,0,47,518214
1269,5,1,Guwahati,1,0,8,475448
3639,2,3,Varanasi,0,1,45,877657
2993,4,2,Etawah,1,1,1,763468
2628,2,1,Tirupati,0,1,2,622660
2801,2,1,Malegaon,2,0,10,677590
3891,2,1,Firozabad,1,1,27,929692
1861,2,2,Siliguri,0,0,27,486072
4432,1,1,Agra,2,1,13,1027424
2280,5,2,Amravati,2,0,11,698400
3180,4,3,Bilaspur,1,0,14,745396
4347,5,1,Ujjain,1,1,32,1057947
2799,1,2,Salem,1,1,16,765785
2706,1,1,Kolkata,0,1,29,699140
4019,1,3,Nashik,1,1,38,907548
3560,1,1,Mangalore,2,0,34,838490
3360,2,3,Ranchi,2,1,26,910573
1575,5,1,Bangalore,1,0,5,492444
3933,3,2,Ranchi,1,0,19,843614
3003,4,3,Bharuch,2,1,39,875866
2307,1,1,Delhi,0,0,28,504434
4192,5,3,Lucknow,2,1,28,1072969
4178,1,3,Nagpur,2,1,17,1028810
2956,1,2,Vijayawada,2,1,37,879094
3734,1,2,Ahmedabad,1,0,44,801778
3020,1,2,Gandhinagar,0,1,19,684699
4275,1,2,Shillong,0,1,27,885915
3212,4,3,Firozabad,1,0,12,800272
3352,5,3,Rampur,2,1,3,995876
4568,1,1,Bhiwandi,1,1,4,1006626
2655,1,1,Ranchi,1,0,47,627249
2579,1,1,Etawah,0,1,47,636191
2847,1,2,Panipat,0,0,11,629896
3203,2,3,Bokaro,1,0,34,738655
2390,2,3,Amravati,1,0,18,611414
2742,3,1,Navi Mumbai,0,0,35,642432
2925,1,1,Kota,0,0,18,547699
1619,3,3,Vijayawada,2,0,46,590634
2274,4,2,Mumbai,1,0,6,653022
1956,3,1,Ahmedabad,2,0,34,559021
2939,5,1,Bareilly,2,0,33,799887
4953,2,3,Kota,2,1,8,1145053
3381,2,3,Raipur,0,1,42,852575
4713,1,1,Rourkela,2,1,20,1052495
1968,1,1,Ujjain,0,0,20,483462
3558,4,2,Kadapa,0,0,43,742214
2316,4,2,Rajahmundry,0,0,18,565383
2043,5,2,Mathura,1,1,27,692106
1281,1,2,Parbhani,2,1,48,615514
3844,1,1,Madurai,0,1,5,860221
4072,4,1,Navi Mumbai,1,0,7,901338
3166,4,1,Jaipur,1,0,22,707181
2058,4,2,Belgaum,1,1,34,684171
1197,2,1,Chandigarh,0,1,43,435303
3532,3,3,Visakhapatnam,0,0,13,706541
4828,3,2,Puducherry,0,1,32,1063741
2082,1,3,Patna,1,1,24,652635
3884,2,2,Jamshedpur,0,0,16,745741
2184,4,1,Madurai,2,1,14,736075
2008,1,2,Chennai,0,0,39,513100
3738,2,3,Etawah,0,0,7,712817
2229,5,2,Visakhapatnam,2,0,44,748572
2035,2,3,Navsari,0,1,12,554073
1489,1,1,Salem,0,0,20,348355
1275,3,3,Bharuch,0,0,33,380388
3740,4,1,Bilaspur,0,0,6,746488
3289,5,3,Kochi,1,1,40,928225
2239,2,1,Hapur,0,1,27,590865
2274,1,3,Varanasi,2,1,13,671512
4882,1,1,Firozabad,2,0,5,1001631
1125,4,1,Davanagere,1,1,24,586820
1216,1,1,Bharuch,0,1,10,390519
4377,1,3,Bikaner,2,1,46,1029123
4868,4,3,Chandigarh,1,1,32,1162221
2208,5,1,Jamshedpur,0,0,9,532143
4110,3,2,Amravati,1,0,49,859517
2246,3,1,Panchkula,0,0,35,533938
4255,2,2,Hyderabad,1,0,44,915535
3542,5,1,Panchkula,1,0,12,847406
3474,2,3,Puducherry,2,0,11,818210
4249,3,2,Kadapa,2,1,36,1103398
1918,4,3,Mangalore,1,1,8,649497
4499,1,2,Thane,0,1,10,894036
2317,3,2,Jodhpur,0,1,14,624331
4923,5,2,Tirupati,0,0,30,976002
3198,3,2,Kanpur,0,0,1,627610
3431,5,3,Coimbatore,0,1,12,825521
2661,5,2,Arrah,2,1,5,798777
4884,5,1,Karimnagar,1,0,14,1046743
1307,2,1,Karimnagar,2,1,36,565636
2359,4,2,Panipat,0,1,17,676104
2969,3,3,Madurai,1,1,22,847300
3793,4,3,Mumbai,0,0,31,837076
1891,1,2,Chandigarh,0,0,26,463679
1374,3,3,Guntur,1,0,13,515152
4079,4,3,Salem,0,1,3,934061
3033,4,3,Hapur,2,0,43,820683
2364,1,2,Amritsar,2,1,11,685900
1128,5,1,Kanpur,2,1,5,612223
2014,3,1,Bokaro,0,0,38,499938
2799,3,1,Hubli,2,0,4,657678
3716,1,1,Kota,0,0,32,739237
4423,5,1,Navsari,0,0,10,845292
2381,3,3,Ujjain,2,0,10,642209
1516,3,3,Davanagere,2,0,44,557830
2518,3,3,Indore,0,0,18,635145
1085,5,2,Ranchi,0,1,47,519680
2198,1,3,Panchkula,0,0,23,535871
4873,3,1,Kota,0,1,18,1061642
4264,4,3,Puducherry,2,0,35,972821
3358,5,1,Moradabad,0,1,3,784106
2142,2,3,Panchkula,0,1,1,557559
4289,1,1,Chennai,0,0,17,764730
3474,4,3,Tiruchirappalli,0,0,42,762292
2993,3,1,Jamshedpur,0,0,6,595683
4485,2,1,Jaipur,1,1,11,1032939
3161,1,2,Bardhaman,1,0,14,688471
4216,5,3,Raipur,1,0,49,1007529
4609,2,1,Jamshedpur,2,1,28,1036666
4719,2,3,Kolkata,0,1,39,1030798
1302,4,1,Firozabad,2,1,36,657868
3791,1,2,Malegaon,0,1,11,879620
4952,4,2,Pune,1,1,41,1184571
1587,4,2,Etawah,0,1,40,624969
1986,3,2,Amravati,2,1,4,735553
2863,5,1,Tiruchirappalli,2,1,48,899623
1344,2,3,Ghaziabad,0,0,6,348314
1813,1,2,Kochi,2,0,38,515993
2987,5,2,Delhi,1,1,19,853307
3848,5,2,Vadodara,0,1,31,961258
4072,1,3,Ulhasnagar,1,1,2,930749
4218,5,1,Parbhani,1,1,43,1002253
2310,3,1,Chennai,2,1,25,790545
2999,5,1,Bhubaneswar,0,0,41,692378
2677,3,1,Mangalore,1,1,48,754334
4124,2,3,Kakinada,1,1,11,988504
2327,2,3,Jalandhar,0,0,46,583242
2092,4,3,Kanpur,2,1,40,734970
3408,3,2,Mumbai,1,1,45,887096
4673,2,3,Madurai,0,0,42,952990
4291,5,1,Srinagar,0,1,44,1049722
2009,1,3,Varanasi,1,1,21,682132
1703,1,2,Ujjain,1,1,3,594369
1574,3,1,Faridabad,1,0,2,457107
2608,4,3,Jalandhar,2,1,11,851458
4232,5,1,Gopalpur,2,1,24,1084649
4752,3,1,Coimbatore,0,0,24,873409
2112,1,3,Rourkela,0,0,21,497410
1687,3,3,Bhavnagar,1,1,25,682615
3828,5,2,Shillong,0,1,4,929018
3632,2,3,Madurai,2,1,40,939070
4828,5,3,Etawah,0,1,43,1083526
3636,2,3,Madurai,0,1,47,921900
4230,2,1,Varanasi,1,1,23,934031
1488,2,2,Etawah,1,1,24,574799
4018,3,1,Noida,2,0,21,894660
2347,1,3,Faridabad,0,0,2,493404
4681,3,2,Salem,0,1,23,1046669
4452,1,3,Bhubaneswar,0,0,15,836439
4173,5,1,Bhiwandi,1,1,26,1050648
1493,4,1,Bhubaneswar,2,1,26,681230
2667,5,3,Bhavnagar,0,1,28,773789
2637,3,2,Ulhasnagar,0,1,26,689678
1018,3,1,Pune,0,0,45,413212
4525,1,3,Tirupati,0,1,2,984273
4553,3,3,Lucknow,2,1,35,1118782
4665,2,3,Surat,2,1,32,1152307
3444,3,2,Puducherry,2,1,30,975820
2000,1,3,Muzaffarpur,1,0,46,567316
4350,1,3,Etawah,0,1,20,913290
1850,2,1,Delhi,0,0,13,462183
2388,1,3,Kota,0,0,27,505750
2354,4,2,Delhi,0,1,23,659869
4712,5,3,Warangal,2,1,16,1124938
2367,3,2,Kollam,1,1,31,723454
1821,4,3,Bijapur,1,0,12,570636
1454,3,3,Panipat,0,0,33,487964
2624,4,3,Warangal,2,1,38,881201
3772,3,2,Rampur,1,1,45,955616
4726,2,1,Kollam,1,0,32,970001
4136,1,2,Nashik,0,1,2,920015
4147,1,1,Madurai,1,0,49,807244
1710,2,2,Navsari,0,0,23,438755
3190,4,3,Nanded,2,0,32,838179
1916,5,3,Kakinada,0,0,15,526933
4986,4,1,Rajahmundry,1,1,40,1168301
3875,1,1,Nashik,0,1,41,812865
3652,5,2,Bilaspur,0,0,40,782884
2496,3,2,Ulhasnagar,0,1,8,630416
2440,5,1,Bijapur,0,0,43,670692
1304,4,1,Coimbatore,0,1,49,516325
1735,2,2,Raipur,0,0,22,437075
4568,3,1,Tiruchirappalli,1,1,38,1042272
3338,4,1,Siliguri,0,1,34,798501
2963,3,1,Bangalore,1,0,1,657696
3149,5,1,Bokaro,0,1,10,770204
3009,1,3,Jalandhar,2,0,40,764143
4338,4,3,Gandhinagar,0,1,16,979086
3914,2,1,Ulhasnagar,1,0,24,780242
4015,5,2,Bhubaneswar,1,1,46,995643
4693,4,3,Malegaon,2,1,24,1106728
4021,2,2,Gurgaon,0,0,48,870395
3889,4,2,Ujjain,2,0,14,872668
1961,5,3,Navsari,0,1,26,662218
3989,4,2,Kadapa,0,1,39,942128
4848,3,2,Hyderabad,1,0,18,1033407
2026,5,1,Firozabad,2,0,20,686406
3132,4,1,Ahmedabad,2,0,41,757050
4865,1,1,Rampur,1,0,36,956911
3375,4,3,Hubli,1,1,24,898598
3863,3,1,Navsari,2,1,26,949153
2473,2,2,Ludhiana,1,1,29,708628
3501,2,2,Etawah,0,1,48,881608
2947,2,2,Etawah,2,1,22,836397
3676,1,2,Thane,2,1,11,930893
4292,3,2,Jodhpur,1,0,41,897522
2177,5,3,Nashik,0,1,49,684444
1664,2,2,Bangalore,2,0,11,537663
1011,3,3,Siliguri,2,0,3,435422
2156,4,2,Panchkula,0,0,21,602690
1303,1,3,Panipat,1,0,11,407492
4364,3,3,Mangalore,1,1,8,1058768
4022,3,2,Arrah,1,0,31,919320
4371,5,2,Vijayawada,1,0,10,959831
2763,3,2,Amritsar,0,1,6,708306
3830,5,2,Jaipur,0,0,17,807316
1042,1,1,Gandhinagar,2,0,38,447775
1943,1,1,Jhansi,2,1,7,679536
3390,4,3,Ujjain,0,0,32,727170
2349,5,3,Srinagar,2,1,13,855492
4885,5,1,Moradabad,0,1,6,1065322
3545,2,3,Chhapra,1,1,3,899717
3411,2,2,Dehradun,0,1,27,767699
1890,4,3,Gopalpur,0,1,45,700729
3474,1,3,Malegaon,2,0,42,789128
2004,2,3,Warangal,0,1,26,596120
1020,3,1,Nanded,1,1,4,461587
1406,1,1,Mangalore,1,1,37,539499
3666,3,3,Bareilly,2,1,21,943950
2014,5,2,Raipur,2,1,28,774697
1335,1,3,Ambala,0,0,18,400649
2838,4,1,Nanded,2,0,32,707161
4188,5,2,Nashik,1,1,39,1035180
2147,5,3,Nellore,2,0,33,652168
3446,3,1,Bareilly,2,1,26,946049
3840,5,2,Bangalore,1,1,17,961394
2827,2,3,Vijayawada,0,1,29,730359
1714,1,1,Ujjain,0,0,20,455103
1050,2,2,Srinagar,2,1,30,514858
4854,3,3,Hubli,1,1,5,1080130
1323,3,2,Rajahmundry,1,0,6,478123
1788,1,2,Agra,1,1,42,652448
1140,5,2,Parbhani,0,0,10,454970
1469,4,1,Ambala,1,0,6,477641
1786,3,3,Coimbatore,1,1,10,612822
2825,1,2,Jodhpur,0,0,42,628965
2357,4,2,Mumbai,1,1,21,728997
2916,5,2,Moradabad,0,0,44,692972
1963,3,1,Navsari,2,0,4,550967
4055,1,2,Navi Mumbai,2,0,13,841899
1372,1,1,Belgaum,2,1,10,600492
4635,1,1,Chhapra,2,0,16,926177
3541,3,2,Malegaon,2,1,19,901741
4610,4,2,Mysore,0,1,6,983332
2692,1,1,Bharuch,0,1,26,700438
3798,5,1,Malegaon,0,0,9,807224
2179,1,2,Kakinada,1,0,46,595300
3338,4,1,Bharuch,2,1,10,893989
2671,3,1,Guwahati,1,1,40,792061
4215,1,2,Gurgaon,1,1,3,885675
1105,1,2,Kanpur,1,1,49,495350
2443,5,3,Warangal,2,1,19,860729
3717,5,2,Rourkela,1,1,35,995004
2681,1,2,Panchkula,2,0,46,655158
1001,1,2,Chandigarh,2,1,6,497326
3636,5,3,Ahmedabad,2,1,29,978201
3691,4,1,Ulhasnagar,1,1,19,880295
3137,2,2,Arrah,2,1,44,933039
4416,2,2,Etawah,2,0,15,922700
1349,1,3,Surat,0,0,38,368507
4530,5,3,Kolkata,1,1,21,1054515
2286,3,3,Pune,0,1,44,701011
4422,3,1,Nanded,0,1,39,1003005
4179,2,3,Kolkata,1,0,23,851123
4657,4,1,Mumbai,0,0,20,892015
2062,2,2,Dehradun,2,0,42,654404
3956,1,2,Srinagar,0,1,2,857123
3206,4,2,Jamshedpur,0,0,45,710659
4654,3,3,Moradabad,2,1,32,1170628
4006,5,2,Gandhinagar,0,1,47,1007913
3359,5,3,Siliguri,2,1,28,1002197
4312,1,1,Mumbai,1,1,4,922894
1444,2,2,Nanded,0,1,7,467619
3345,1,1,Navi Mumbai,1,0,3,721548
1951,5,3,Etawah,0,0,25,515085
1035,3,3,Varanasi,2,0,48,458984
2107,5,2,Dehradun,0,1,9,637975
2475,4,2,Dehradun,1,0,23,662935
4957,5,3,Bhubaneswar,2,1,23,1210696
2798,5,2,Nagpur,2,1,49,946995
2845,4,2,Navsari,1,1,26,770514
2408,2,1,Jaipur,1,0,40,573659
2195,5,3,Malegaon,0,0,18,612908
2399,1,1,Davanagere,0,0,24,499192
2708,5,2,Aligarh,2,0,27,756021
2385,1,1,Rampur,1,1,45,678708
3606,4,3,Panchkula,1,1,2,927873
3938,5,1,Kota,0,1,1,913693
3188,4,1,Ranchi,0,1,48,794335
3934,4,2,Moradabad,2,1,16,1021625
4989,2,3,Kollam,1,0,43,1044850
4189,5,2,Navsari,1,0,24,973350
2300,1,2,Kota,1,1,36,710114
3773,1,3,Srinagar,1,1,11,888335
2243,5,1,Indore,0,1,26,717392
4976,2,2,Amritsar,0,1,6,1010293
4097,2,1,Thane,0,1,26,912219
1520,2,3,Ujjain,2,0,29,529006
2806,1,2,Belgaum,1,1,43,719686
1009,4,1,Panchkula,0,0,1,326228
1983,2,1,Parbhani,1,0,9,517174
3425,1,2,Ludhiana,0,1,27,820881
2656,1,3,Panchkula,2,1,7,808413
2660,4,1,Ghaziabad,0,0,3,624484
3729,5,3,Guntur,2,0,9,920814
3631,5,2,Kolkata,1,0,2,822118
3199,2,1,Guntur,0,1,10,771789
1719,2,1,Nashik,0,0,17,462190
2072,4,1,Guwahati,0,1,31,662257
4225,2,3,Rourkela,1,0,1,855353
1858,4,1,Udupi,2,1,18,709321
2316,1,1,Thane,2,1,6,678237
2603,2,2,Mangalore,0,0,38,572304
1049,1,1,Aligarh,1,1,41,525239
3711,3,3,Srinagar,2,1,42,972411
3578,4,2,Parbhani,2,0,47,938106
4683,3,2,Guwahati,2,1,4,1098459
4131,2,1,Udupi,2,0,40,942478
4238,1,2,Bhavnagar,2,0,4,841155
4273,2,1,Kota,0,0,35,839282
3904,3,2,Warangal,0,1,4,843282
1145,2,3,Indore,0,1,1,486468
1914,5,1,Mathura,2,0,41,594990
4747,3,3,Srinagar,2,1,43,1157256
4040,2,1,Delhi,2,0,31,883609
2462,1,3,Mathura,0,0,19,562472
3289,2,3,Tiruchirappalli,2,0,21,784546
1580,1,2,Visakhapatnam,0,1,30,538745
3734,5,1,Bokaro,2,1,7,1026886
2584,2,2,Mangalore,0,1,5,664069
1482,5,3,Chennai,1,0,2,526690
4179,3,1,Jodhpur,2,0,3,886485
2249,1,3,Ahmedabad,2,1,15,708166
1672,3,3,Hyderabad,0,1,39,601299
1630,1,3,Bikaner,2,0,37,503782
3708,5,3,Tiruchirappalli,0,0,10,842654
1661,4,2,Malegaon,0,0,9,428596
4503,2,3,Jalandhar,1,0,23,899906
3852,5,2,Tirupati,1,1,14,1017290
4726,1,3,Panipat,2,1,45,1072357
3466,1,1,Delhi,2,0,33,819732
1987,1,3,Arrah,0,0,16,465903
4526,1,3,Chandigarh,0,1,20,956937
4231,2,1,Visakhapatnam,0,0,8,838788
2546,3,1,Bangalore,0,0,49,606595
1649,4,3,Nagpur,2,1,38,755078
1968,2,3,Kanpur,1,1,34,629423
3637,1,2,Delhi,2,1,31,897430
2100,2,1,Tirupati,2,0,45,661199
3556,5,1,Kota,2,0,8,882164
1440,1,2,Tirupati,1,1,25,561285
4325,4,3,Nagpur,2,1,41,1069795
1920,1,3,Chhapra,1,0,13,499615
1769,4,1,Bhopal,0,0,18,489774
2343,4,2,Firozabad,2,0,41,744057
2826,3,3,Belgaum,0,1,34,812599
1262,3,1,Bhavnagar,0,1,36,538794
4668,2,3,Jhansi,0,0,17,934658
4729,2,3,Hyderabad,2,1,12,1149881
4906,4,3,Kottayam,0,1,16,1084314
2577,1,1,Etawah,2,1,13,780263
4445,5,2,Surat,0,0,11,888176
3684,5,2,Bhavnagar,2,0,14,860713
4238,1,3,Guntur,2,1,42,1050299
4824,1,2,Delhi,2,0,28,1016214
3506,3,3,Ambala,0,1,24,880822
1998,5,1,Faridabad,2,1,17,748137
4351,4,1,Ghaziabad,0,0,9,897431
1699,2,1,Chhapra,1,1,46,574117
3349,3,3,Malegaon,0,1,30,861217
4602,5,2,Aligarh,0,1,37,1059154
2603,1,1,Bhavnagar,2,1,3,754846
2241,5,3,Patna,0,1,8,650260
2125,4,2,Nagpur,1,1,18,667293
3601,3,2,Jodhpur,2,0,30,852404
3335,1,2,Udupi,0,1,3,799179
2190,4,3,Siliguri,0,0,34,614110
3668,2,3,Faridabad,2,0,43,923438
2005,3,3,Hyderabad,2,0,28,601550
1035,4,1,Arrah,0,0,37,348514
1743,4,3,Mumbai,0,0,25,524984
2764,1,1,Jhansi,2,1,30,816483
1352,2,1,Jodhpur,2,1,7,568825
4747,4,1,Gurgaon,1,0,46,1040091
2922,3,3,Ranchi,1,1,29,854578
1072,4,1,Gandhinagar,1,0,2,359300
3695,5,3,Udupi,2,1,26,1016137
2376,3,3,Bhavnagar,2,0,41,748053
2914,3,1,Bardhaman,2,0,42,704914
2093,4,1,Rajahmundry,0,0,49,522489
3472,1,1,Mangalore,2,1,7,850634
4046,3,3,Siliguri,0,1,18,937470
1707,5,3,Jodhpur,2,0,6,633773
2804,1,1,Nashik,2,0,41,699587
3608,1,1,Parbhani,0,1,40,772286
3875,1,2,Ranchi,2,1,27,919760
4713,3,1,Kottayam,2,0,41,1052615
1955,1,2,Bhiwandi,2,0,24,552082
3564,4,2,Tirupati,1,0,33,829103
3475,1,3,Chhapra,2,1,31,881450
4610,5,3,Tiruchirappalli,0,0,34,946613
1159,2,2,Karimnagar,0,1,22,445991
3196,5,2,Vijayawada,0,1,24,883068
3823,3,1,Jaipur,2,0,36,916636
4301,1,2,Guntur,0,1,28,930453
2735,1,1,Warangal,1,0,20,578658
2585,4,3,Ahmedabad,0,0,18,594344
1066,1,1,Kochi,2,1,42,529130
4061,5,3,Kakinada,1,0,32,894376
4883,3,2,Malegaon,0,1,33,1037662
3428,2,2,Guntur,1,1,10,794267
1057,1,2,Firozabad,0,0,9,349658
4330,2,1,Shillong,2,1,25,1025163
1341,1,3,Navi Mumbai,1,1,13,528984
4909,3,3,Aligarh,0,0,47,951582
2153,5,3,Vadodara,0,1,45,739632
3774,3,3,Bikaner,1,0,5,812006
2195,2,3,Davanagere,1,0,31,591252
3817,1,1,Kadapa,1,1,31,880841
3661,2,3,Pune,1,1,34,871340
2232,5,2,Mysore,0,0,26,639956
4874,3,3,Ahmedabad,0,1,7,1074678
3401,2,2,Kadapa,0,0,41,744039
2494,2,1,Kochi,2,1,46,754745
2821,5,1,Aligarh,1,0,49,776307
1115,1,2,Kakinada,0,0,20,380420
4335,2,3,Kakinada,1,1,43,1069118
1661,5,1,Visakhapatnam,1,1,22,600080
4883,1,1,Mathura,0,1,5,1018627
2465,1,1,Bijapur,1,0,12,519345
4619,3,3,Visakhapatnam,1,0,21,1006237
3500,5,2,Panchkula,1,1,9,928402
2868,1,2,Tiruchirappalli,1,1,29,710418
4548,3,3,Bharuch,1,0,27,1002019
3334,4,1,Rampur,0,1,17,770775
4374,5,3,Tiruchirappalli,0,1,40,1054547
2016,4,3,Salem,1,0,24,638003
1310,1,2,Madurai,1,1,27,497331
1207,5,3,Faridabad,1,0,8,458434
3665,3,3,Ghaziabad,2,0,44,911561
3493,1,1,Lucknow,1,1,29,828477
3717,5,1,Kolkata,2,1,19,1035650
1632,5,2,Srinagar,2,1,10,712077
3102,4,1,Tirupati,2,0,24,792765
3959,1,3,Ulhasnagar,0,0,34,759515
4083,3,3,Ambala,2,0,40,949039
1656,3,3,Amritsar,1,1,31,619634
2423,1,2,Amravati,1,0,46,588344
2931,1,1,Patna,0,0,4,593413
4719,2,3,Kollam,0,0,41,920793
4027,4,1,Arrah,1,1,45,981739
3562,1,1,Bharuch,0,0,31,693989
2679,1,1,Kakinada,0,1,9,635174
4613,2,1,Kottayam,2,1,26,1088130
1236,2,2,Pune,2,0,13,446440
4350,5,2,Tirupati,0,0,48,948972
1347,3,2,Bhubaneswar,1,0,26,443977
3674,4,3,Guwahati,2,1,1,940614
4175,5,3,Ludhiana,1,1,40,1067308
1629,1,3,Karimnagar,0,1,9,512748
2540,2,2,Bikaner,1,1,31,771233
3003,3,1,Davanagere,1,0,24,740398
4943,5,2,Srinagar,1,0,45,1022589
2271,3,3,Malegaon,1,1,49,747251
1363,2,3,Ghaziabad,0,1,22,523344
3368,5,1,Bharuch,0,1,9,858834
4704,5,2,Delhi,2,1,39,1200394
1285,3,1,Raipur,2,1,23,560135
1148,2,2,Delhi,2,1,20,582810
2107,1,3,Chhapra,2,1,42,763594
3453,5,1,Jhansi,1,1,21,941418
4025,1,1,Firozabad,2,0,27,836481
1455,2,2,Ranchi,2,0,5,482137
2766,5,2,Gopalpur,1,1,17,840519
1799,5,2,Sangli,0,0,34,545108
2184,1,3,Jaipur,2,0,9,563425
2012,4,2,Ranchi,0,0,34,568386
3831,1,3,Jaipur,2,1,10,987512
3507,1,2,Bareilly,0,1,44,866954
4621,4,2,Ludhiana,2,1,2,1131835
2523,2,3,Kakinada,0,0,47,604195
3785,2,2,Ranchi,0,1,25,886698
3556,5,3,Kolkata,2,0,3,923672
4725,3,3,Bilaspur,0,1,34,1084325
4875,3,2,Moradabad,2,1,7,1165347
1480,5,2,Bangalore,2,0,28,556820
2686,3,1,Rourkela,1,1,9,707092
3161,1,2,Nagpur,2,0,11,742118
3796,1,1,Kochi,2,1,29,924042
2601,4,2,Kota,2,1,16,814295
3408,4,3,Kadapa,2,1,39,976614
1340,5,3,Parbhani,1,0,29,515653
3817,5,1,Bikaner,1,1,13,938049
3010,5,2,Ahmedabad,1,0,35,766691
3808,1,1,Agra,1,0,11,814115
4016,3,2,Chhapra,0,0,35,867275
3496,5,2,Faridabad,2,1,47,986448
2866,5,3,Warangal,1,1,8,862796
1834,1,1,Agra,2,1,7,662732
2203,1,3,Bhavnagar,1,1,5,650990
2725,1,3,Patna,2,1,6,827324
4478,3,3,Warangal,0,0,35,918014
2689,5,1,Malegaon,1,0,30,717394
4267,2,2,Noida,0,0,11,838704
4537,2,2,Puducherry,0,0,38,899677
1310,5,1,Vadodara,2,0,27,533515
1261,5,2,Bhopal,1,0,21,490884
2442,5,1,Vadodara,0,1,14,659660
1405,5,1,Kakinada,2,0,49,589806
3190,3,2,Bhiwandi,2,0,35,785457
1341,2,3,Puducherry,2,0,29,561946
2339,4,1,Guntur,0,0,24,582352
4172,2,1,Surat,2,1,36,1060243
1243,2,1,Kottayam,2,0,41,482278
1489,1,1,Rampur,2,1,45,596452
1011,5,2,Navi Mumbai,0,1,32,473255
4310,5,2,Lucknow,2,0,6,1004399
1560,5,1,Amravati,0,0,10,500017
1041,1,3,Arrah,2,1,20,529305
3725,3,2,Bhopal,0,0,20,740883
1593,3,3,Dehradun,0,0,26,466095
2452,4,3,Kolkata,1,0,21,636520
2826,3,1,Navsari,1,1,45,771867
4229,3,2,Nanded,1,0,23,896024
4287,5,1,Kota,0,1,46,1031769
2693,2,1,Guntur,2,1,12,731364
4533,3,3,Lucknow,2,1,13,1113597
1133,3,3,Warangal,0,0,10,338329
4138,1,3,Hyderabad,2,1,7,999359
4919,4,1,Bhavnagar,0,0,37,923001
4078,1,1,Varanasi,2,1,12,972298
1947,5,1,Davanagere,0,0,25,536808
4597,2,1,Hyderabad,1,0,2,898202
1072,4,1,Hapur,1,1,40,569940
1398,1,1,Rourkela,2,1,26,588887
2428,3,1,Salem,2,1,40,824367
4746,3,1,Ranchi,2,0,5,958208
3625,4,2,Kakinada,2,0,8,836511
3906,3,2,Firozabad,1,0,42,893204
1129,1,2,Nagpur,1,1,45,467508
